Ordinal,Function,Ordinal_in_Function
21,??0_AFX_CHECKLIST_STATE@@QAE@XZ @ 256 NONAME,False
22,??0_AFX_COLOR_STATE@@QAE@XZ @ 257 NONAME,False
23,??0_AFX_CONTROLPOS@@QAE@XZ=_AfxBinaryCompatibleStubFunction @ 258 NONAME,False
24,??0_AFX_DAO_STATE@@QAE@XZ @ 259 NONAME,False
25,??0_AFX_EDIT_STATE@@QAE@XZ @ 260 NONAME,False
26,??0_AFX_OLE_STATE@@QAE@XZ @ 261 NONAME,True
27,??0_AFX_THREAD_STATE@@QAE@XZ @ 262 NONAME,False
28,??0_AFX_WIN_STATE@@QAE@XZ @ 263 NONAME,False
29,??0_AFXCTL_AMBIENT_CACHE@@QAE@XZ @ 264 NONAME,False
30,??0_AFXCTL_UIACTIVE_INFO@@QAE@PAUHMENU__@@PAUIOleInPlaceFrame@@@Z @ 265 NONAME,False
31,??0AFX_CLASSINIT@@QAE@PAUCRuntimeClass@@@Z=??0AFX_CLASSINIT_COMPAT@@QAE@PAUCRuntimeClass@@@Z @ 266 NONAME,False
32,??0AFX_DDPDATA@@QAE@PAXHH0IPBD@Z @ 267 NONAME,False
33,??0AFX_EXCEPTION_LINK@@QAE@XZ @ 268 NONAME,False
34,??0AFX_MODULE_STATE@@QAE@HP6GJPAUHWND__@@IIJ@ZK@Z @ 269 NONAME,False
35,??0AFX_MODULE_STATE@@QAE@HP6GJPAUHWND__@@IIJ@ZKH@Z @ 270 NONAME,False
36,??0AFX_MODULE_THREAD_STATE@@QAE@XZ @ 271 NONAME,False
37,??0CAnimateCtrl@@QAE@XZ @ 272 NONAME,False
38,??0CArchive@@QAE@PAVCFile@@IHPAX@Z @ 273 NONAME,False
39,??0CArchivePropExchange@@QAE@AAVCArchive@@@Z @ 274 NONAME,False
40,??0CArchiveStream@@QAE@PAVCArchive@@@Z @ 275 NONAME,False
41,??0CAsyncMonikerFile@@QAE@XZ @ 276 NONAME,False
42,??0CAsyncPropExchange@@QAE@K@Z @ 277 NONAME,False
43,??0CAsyncSocket@@QAE@XZ @ 278 NONAME,False
44,??0CBitmap@@QAE@XZ @ 279 NONAME,False
45,??0CBitmapButton@@QAE@XZ @ 280 NONAME,False
46,??0CBlobProperty@@QAE@PAX@Z @ 281 NONAME,False
47,??0CBrush@@QAE@HK@Z @ 282 NONAME,False
48,??0CBrush@@QAE@K@Z @ 283 NONAME,False
49,??0CBrush@@QAE@PAVCBitmap@@@Z @ 284 NONAME,False
50,??0CBrush@@QAE@XZ @ 285 NONAME,False
51,??0CButton@@QAE@XZ @ 286 NONAME,False
52,??0CByteArray@@QAE@XZ @ 287 NONAME,False
53,??0CCheckListBox@@QAE@XZ @ 288 NONAME,False
54,??0CClientDC@@QAE@PAVCWnd@@@Z @ 289 NONAME,False
55,??0CCmdTarget@@QAE@XZ @ 290 NONAME,False
56,??0CCmdUI@@QAE@XZ @ 291 NONAME,False
57,??0CColorButton@@QAE@XZ @ 292 NONAME,False
58,??0CColorDialog@@QAE@KKPAVCWnd@@@Z @ 293 NONAME,False
59,??0CColorPropPage@@QAE@XZ @ 294 NONAME,False
60,??0CComboBox@@QAE@XZ @ 295 NONAME,False
61,??0CCommandLineInfo@@QAE@XZ @ 296 NONAME,False
62,??0CConnectionPoint@@QAE@XZ @ 297 NONAME,False
63,??0CControlBar@@IAE@XZ @ 298 NONAME,False
64,??0CControlBarInfo@@QAE@XZ @ 299 NONAME,False
65,??0CControlDataSource@COleControl@@QAE@PAV1@@Z @ 300 NONAME,False
66,??0CControlFrameWnd@@QAE@PAVCOleControl@@@Z @ 301 NONAME,False
